source_id,source_name,source_category,role,target_id,target_name,target_category,is_inverse
f1,Memo,整机平台,manufacturer,ind-agility,Agility Robotics,产业,0
f1,Memo,整机平台,deployed-at,sw1,OpenVLA,基础模型,1
f1,Memo,整机平台,series-member,f130,DIGIT,整机平台,0
f1,Memo,整机平台,tech-base,e1,2F-85 Adaptive Gripper,灵巧手 & 夹爪,0
f1,Memo,整机平台,tech-base,j1,FSA Actuator,关节模组,0
f2,Oli,整机平台,manufacturer,ind-limx,LimX Dynamics,产业,0
f2,Oli,整机平台,competitor,f132,LIMX CL,整机平台,0
f2,Oli,整机平台,competitor,f15,P1S,整机平台,0
f2,Oli,整机平台,competitor,f25,TRON,整机平台,0
f2,Oli,整机平台,competitor,f73,LIMX OLI,整机平台,0
f2,Oli,整机平台,tech-base,c1,CSF-2UH Strain Wave Gear Unit,核心零部件,0
f2,Oli,整机平台,related,sw7,Open X-Embodiment,数据集,0
f2,Oli,整机平台,related,sw5,Isaac Sim,仿真平台,0
f4,Optimus Gen 2,整机平台,manufacturer,ind-tesla-optimus,Tesla Optimus,产业,0
f4,Optimus Gen 2,整机平台,series-member,f8,OPTIMUS,整机平台,0
f4,Optimus Gen 2,整机平台,series-member,f98,OPTIMUS V2.5,整机平台,0
f4,Optimus Gen 2,整机平台,tech-base,e2,Shadow Dexterous Hand (E3M5R),灵巧手 & 夹爪,0
f4,Optimus Gen 2,整机平台,tech-base,s1,RealSense Depth Camera D455,传感器,0
f4,Optimus Gen 2,整机平台,tech-base,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
a1,UR10e,机械臂,series-member,arm-ur16e,UR16e,机械臂,0
a1,UR10e,机械臂,series-member,arm-ur20,UR20,机械臂,0
a1,UR10e,机械臂,series-member,arm-ur30,UR30,机械臂,0
a1,UR10e,机械臂,series-member,arm-ur3e,UR3e,机械臂,0
a1,UR10e,机械臂,series-member,arm-ur5e,UR5e,机械臂,0
a1,UR10e,机械臂,tech-base,s2,Axia80 F/T Sensor,传感器,0
a1,UR10e,机械臂,tech-base,c1,CSF-2UH Strain Wave Gear Unit,核心零部件,0
a2,Franka Emika Panda,机械臂,series-member,arm-fr3,Franka Research 3,机械臂,0
a2,Franka Emika Panda,机械臂,tech-base,c1,CSF-2UH Strain Wave Gear Unit,核心零部件,0
a2,Franka Emika Panda,机械臂,related,sw-droid,DROID,数据集,0
a2,Franka Emika Panda,机械臂,related,sw-fmb,FMB (Functional Manipulation Benchmark dataset),数据集,0
a2,Franka Emika Panda,机械臂,related,sw-polymetis,Polymetis,算法框架,0
e1,2F-85 Adaptive Gripper,灵巧手 & 夹爪,tech-base,f1,Memo,整机平台,1
e2,Shadow Dexterous Hand (E3M5R),灵巧手 & 夹爪,tech-base,f4,Optimus Gen 2,整机平台,1
e2,Shadow Dexterous Hand (E3M5R),灵巧手 & 夹爪,related,sw-openai-dexterous,Dexterous In-Hand Manipulation (RL/PPO + Domain Randomization),控制算法,0
e2,Shadow Dexterous Hand (E3M5R),灵巧手 & 夹爪,related,d1,HaptX Gloves G1,数采 & 遥操,0
j1,FSA Actuator,关节模组,manufacturer,ind-fourier,Fourier Intelligence (傅利叶智能),产业,0
j1,FSA Actuator,关节模组,tech-base,f1,Memo,整机平台,1
j1,FSA Actuator,关节模组,related,c2,KBM Series Frameless Motor,核心零部件,0
j2,Dynamixel PH54-200-S500,关节模组,tech-base,f2,Oli,整机平台,1
j2,Dynamixel PH54-200-S500,关节模组,tech-base,f79,AI WORKER,整机平台,1
j2,Dynamixel PH54-200-S500,关节模组,tech-base,h33,HXS-D20,灵巧手 & 夹爪,1
j2,Dynamixel PH54-200-S500,关节模组,series-member,joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,0
j2,Dynamixel PH54-200-S500,关节模组,competitor,joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,0
j2,Dynamixel PH54-200-S500,关节模组,competitor,joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,0
c1,CSF-2UH Strain Wave Gear Unit,核心零部件,tech-base,f2,Oli,整机平台,1
c1,CSF-2UH Strain Wave Gear Unit,核心零部件,tech-base,a1,UR10e,机械臂,1
c1,CSF-2UH Strain Wave Gear Unit,核心零部件,tech-base,a2,Franka Emika Panda,机械臂,1
c1,CSF-2UH Strain Wave Gear Unit,核心零部件,series-member,comp-harmonic-csf-2up,CSF-2UP Ultra-Flat Gearhead,核心零部件,0
c2,KBM Series Frameless Motor,核心零部件,related,j1,FSA Actuator,关节模组,0
s1,RealSense Depth Camera D455,传感器,tech-base,f4,Optimus Gen 2,整机平台,1
s1,RealSense Depth Camera D455,传感器,series-member,sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,0
s1,RealSense Depth Camera D455,传感器,series-member,sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,0
s1,RealSense Depth Camera D455,传感器,competitor,sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,0
s2,Axia80 F/T Sensor,传感器,tech-base,a1,UR10e,机械臂,1
